Dimension,Meat,Fish,Vegetarian,Veg,,,,,,,,,,,,,,,,,
Red meat,9.353233831,0.20661157,0.211864407,0,,,,,,,,,,,,,,,,,
Processed meat,4.577114428,0.20661157,0,0,,,,,,,,,,,,,,,,,
Poultry,6.567164179,0,0,0,,,,,,,,,,,,,,,,,
Fish,4.577114427,7.438016529,0.423728814,0.44345898,,,,,,,,,,,,,,,,,
Dairy milk,10.04975124,9.607438016,9.110169491,6.097560975,,,,,,,,,,,,,,,,,
Cheese,5.671641791,8.780991736,10.59322034,2.88248337,,,,,,,,,,,,,,,,,
Yogurt,2.885572139,3.202479339,2.966101695,2.549889135,,,,,,,,,,,,,,,,,
Eggs,3.582089552,4.132231405,4.025423729,0.88691796,,,,,,,,,,,,,,,,,
Vegetables,1.691542288,7.334710744,10.16949153,15.96452328,,,,,,,,,,,,,,,,,
Fruit,2.388059701,3.925619835,4.025423729,6.208425721,,,,,,,,,,,,,,,,,
Bread,13.33333333,15.2892562,16.52542373,18.84700665,,,,,,,,,,,,,,,,,
Cereals,13.93034826,17.56198347,19.06779661,22.39467849,,,,,,,,,,,,,,,,,
Flour,0,0,0,0,,,,,,,,,,,,,,,,,
Potatoes,0,0,0,0,,,,,,,,,,,,,,,,,
Cakes & pastries,2.288557214,2.479338843,2.754237288,3.10421286,,,,,,,,,,,,,,,,,
Biscuits,2.786069652,3.099173554,3.177966102,3.54767184,,,,,,,,,,,,,,,,,
Confectionery,2.985074627,3.305785124,3.813559322,4.4345898,,,,,,,,,,,,,,,,,
Soft drinks,7.363184079,7.851239669,7.838983051,7.76053215,,,,,,,,,,,,,,,,,
Alcoholic drinks,5.970149254,5.578512397,5.296610169,4.87804878,,,,,,,,,,,,,,,,,
Fats,0,0,0,0,,,,,,,,,,,,,,,,,
Sugar and preserves,0,0,0,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Region,Dairy milk,Cheese,Yogurt,Red meat,Processed meat,Poultry,Fish,Eggs,Fats,Sugar and preserves,Potatoes,Vegetables,Fruit,Bread,Flour,Cakes & pastries,Biscuits,Cereals,Soft drinks,Confectionery,Alcoholic drinks
